0.23,3.00,0.65
0.22,3.00,0.60
0.21,3.00,0.54
0.19,3.00,0.49
0.18,3.00,0.43
0.17,3.00,0.38
0.16,3.00,0.32
0.15,3.00,0.26
0.14,3.00,0.21
0.13,3.00,0.15
0.12,3.00,0.10
0.11,3.00,0.05
0.58,3.00,2.39
0.59,3.00,2.45
0.60,3.00,2.50
0.61,3.00,2.56
0.62,3.00,2.61
0.63,3.00,2.67
0.65,3.00,2.72
0.66,3.00,2.78
0.67,3.00,2.83
0.68,3.00,2.87
0.69,3.00,2.93
0.70,3.00,2.98
0.71,3.00,3.04
0.72,3.00,3.09
0.73,3.00,3.15
0.75,3.00,3.20
0.76,3.00,3.26
0.77,3.00,3.31
0.78,3.00,3.37
0.79,3.00,3.42
0.80,3.00,3.48
0.81,3.00,3.53
0.82,3.00,3.59
0.83,3.00,3.64
0.85,3.00,3.70
0.86,3.00,3.75
0.87,3.00,3.80
0.88,3.00,3.86
0.89,3.00,3.92
0.90,3.00,3.97
0.91,3.00,4.02
0.92,3.00,4.08
0.93,3.00,4.14
0.95,3.00,4.19
0.96,3.00,4.24
0.97,3.00,4.30
0.98,3.00,4.35
0.99,3.00,4.40
1.00,3.00,4.46
0.55,2.00,2.73
0.54,2.00,2.68
0.53,2.00,2.62
0.51,2.00,2.57
0.50,2.00,2.51
0.49,2.00,2.46
0.48,2.00,2.40
0.47,2.00,2.35
0.46,2.00,2.30
0.45,2.00,2.24
0.44,2.00,2.19
0.43,2.00,2.13
0.42,2.00,2.07
0.41,2.00,2.01
0.39,2.00,1.97
0.38,2.00,1.92
0.37,2.00,1.87
0.36,2.00,1.81
0.35,2.00,1.76
0.34,2.00,1.70
0.33,2.00,1.64
0.32,2.00,1.59
0.30,2.00,1.54
0.29,2.00,1.48
0.28,2.00,1.43
0.27,2.00,1.37
0.26,2.00,1.32
0.25,2.00,1.26
0.24,2.00,1.20
0.23,2.00,1.15
0.22,2.00,1.10
0.21,2.00,1.04
0.19,2.00,0.99
0.18,2.00,0.93
0.17,2.00,0.87
0.16,2.00,0.82
0.15,2.00,0.76
0.14,2.00,0.71
0.13,2.00,0.66
0.12,2.00,0.61
0.11,2.00,0.55
0.10,2.00,0.50
0.09,2.00,0.44
0.08,2.00,0.39
0.06,2.00,0.33
0.05,2.00,0.28
0.04,2.00,0.22
0.03,2.00,0.16
0.02,2.00,0.10
0.01,2.00,0.06
0.56,2.00,2.79
0.57,2.00,2.84
0.58,2.00,2.89
0.59,2.00,2.94
0.60,2.00,2.99
0.61,2.00,3.05
0.62,2.00,3.11
0.64,2.00,3.16
0.65,2.00,3.22
0.66,2.00,3.27
0.67,2.00,3.33
0.68,2.00,3.37
0.69,2.00,3.42
0.70,2.00,3.48
0.71,2.00,3.53
0.72,2.00,3.59
0.73,2.00,3.65
0.75,2.00,3.70
0.76,2.00,3.76
0.77,2.00,3.81
0.78,2.00,3.86
0.79,2.00,3.92
0.80,2.00,3.98
0.81,2.00,4.03
0.82,2.00,4.09
0.83,2.00,4.14
0.84,2.00,4.20
0.86,2.00,4.25
0.87,2.00,4.30
0.88,2.00,4.36
0.89,2.00,4.41
0.90,2.00,4.47
0.91,2.00,4.52
0.92,2.00,4.58
0.93,2.00,4.63
0.95,2.00,4.69
0.96,2.00,4.74
0.97,2.00,4.79
0.98,2.00,4.85
0.99,2.00,4.91
1.00,2.00,4.96
0.84,1.00,4.69
0.83,1.00,4.64
0.82,1.00,4.58
0.81,1.00,4.53
0.80,1.00,4.47
0.79,1.00,4.42
0.78,1.00,4.36
0.77,1.00,4.31
0.75,1.00,4.26
0.74,1.00,4.20
0.73,1.00,4.15
0.72,1.00,4.09
0.71,1.00,4.03
0.70,1.00,3.98
0.69,1.00,3.92
0.68,1.00,3.87
0.67,1.00,3.82
0.65,1.00,3.76
0.64,1.00,3.71
0.63,1.00,3.65
0.62,1.00,3.60
0.61,1.00,3.54
0.60,1.00,3.48
0.59,1.00,3.43
0.58,1.00,3.38
0.57,1.00,3.33
0.56,1.00,3.27
0.54,1.00,3.22
0.53,1.00,3.16
0.52,1.00,3.11
0.51,1.00,3.05
0.50,1.00,2.99
0.49,1.00,2.94
0.48,1.00,2.89
0.47,1.00,2.83
0.45,1.00,2.78
0.44,1.00,2.72
0.43,1.00,2.67
0.42,1.00,2.61
0.41,1.00,2.56
0.40,1.00,2.50
0.39,1.00,2.45
0.38,1.00,2.40
0.37,1.00,2.34
0.35,1.00,2.28
0.34,1.00,2.23
0.33,1.00,2.17
0.32,1.00,2.12
0.31,1.00,2.07
0.30,1.00,2.01
0.29,1.00,1.96
0.28,1.00,1.90
0.27,1.00,1.85
0.25,1.00,1.79
0.24,1.00,1.74
0.23,1.00,1.68
0.22,1.00,1.63
0.21,1.00,1.57
0.20,1.00,1.52
0.19,1.00,1.46
0.18,1.00,1.41
0.17,1.00,1.35
0.16,1.00,1.30
0.14,1.00,1.24
0.13,1.00,1.19
0.12,1.00,1.13
0.11,1.00,1.08
0.10,1.00,1.02
0.09,1.00,0.97
0.08,1.00,0.91
0.07,1.00,0.86
0.06,1.00,0.81
0.04,1.00,0.75
0.03,1.00,0.70
0.02,1.00,0.64
0.01,1.00,0.58
0.00,1.00,0.52
0.86,1.00,4.74
0.87,1.00,4.80
0.88,1.00,4.86
0.89,1.00,4.91
0.90,1.00,4.95
0.01,1.00,0.55
